fdc_id,nombre,calories,carbs,fat,fiber,protein,sugar
167654,"Smelt, Dried (Alaska Native)",386.0,0.0,17.9,0.0,56.19,0.0
167655,"Frybread, Made With Lard (Apache)",309.0,46.01,10.14,1.7,8.38,1.54
167656,Corned Beef And Potatoes In Tortilla (Apache),224.0,29.35,8.31,1.5,7.91,1.79
167657,"On The Border, Soft Taco With Ground Beef, Cheese And Lettuce",229.0,19.28,11.05,1.8,13.19,1.84
167658,"Restaurant, Mexican, Soft Taco With Ground Beef, Cheese And Lettuce",219.0,17.92,10.81,1.5,12.56,2.39
167659,"Restaurant, Latino, Chicken And Rice, Entree, Prepared",174.0,20.03,5.06,1.2,12.02,0.55
167660,"Restaurant, Latino, Empanadas, Beef, Prepared",335.0,31.19,18.37,2.0,11.31,1.84
167661,"Restaurant, Latino, Pupusas Con Frijoles (Pupusas, Bean)",229.0,31.49,9.01,5.8,5.59,1.3
167662,"Restaurant, Latino, Pupusas Con Queso (Pupusas, Cheese)",256.0,22.39,13.25,2.9,11.72,1.2
167663,"Restaurant, Latino, Pupusas Del Cerdo (Pupusas, Pork)",232.0,23.02,10.43,2.6,11.51,1.45
167664,"Restaurant, Latino, Tamale, Corn",186.0,26.68,7.21,3.2,3.48,7.42
167665,"Restaurant, Mexican, Spanish Rice",185.0,31.16,5.29,1.2,3.28,1.3
167666,"Restaurant, Mexican, Refried Beans",156.0,16.79,6.77,8.0,6.91,0.78
167667,"Restaurant, Chinese, Egg Rolls, Assorted",250.0,27.29,11.94,2.6,8.28,0.0
167668,"Restaurant, Chinese, Fried Rice, Without Meat",174.0,32.79,2.96,1.1,4.05,0.56
167669,"Cracker Barrel, Steak Fries",255.0,30.87,13.18,3.5,3.26,0.86
167670,"Cracker Barrel, Grilled Sirloin Steak",203.0,0.0,8.52,0.0,31.52,0.0
167671,"Cracker Barrel, Macaroni N' Cheese Plate, From Kid'S Menu",192.0,15.58,11.51,0.7,6.46,2.83
167672,"Denny'S, French Fries",282.0,35.2,14.13,3.5,3.41,0.85
167673,"Denny'S, Top Sirloin Steak",182.0,0.14,7.34,0.0,28.9,0.0
167674,"Restaurant, Chinese, Lemon Chicken",252.0,20.61,13.55,1.0,11.87,8.18
167675,"Restaurant, Chinese, General Tso'S Chicken",295.0,23.99,16.36,0.9,12.9,11.6
167676,"Restaurant, Chinese, Kung Pao Chicken",129.0,6.87,6.98,1.5,9.76,3.03
167677,"Restaurant, Chinese, Vegetable Lo Mein, Without Meat",121.0,20.16,2.35,1.3,4.77,2.63
167678,"Restaurant, Chinese, Chicken And Vegetables",95.0,5.38,4.56,0.9,8.18,2.93
167679,"Restaurant, Chinese, Orange Chicken",262.0,22.46,12.68,0.8,14.46,13.6
167680,"Restaurant, Italian, Spaghetti With Meat Sauce",121.0,16.4,3.59,1.6,5.79,1.82
167681,"Beverages, Fruit-Flavored Drink, Dry Powdered Mix, Low Calorie, With Aspartame",218.0,87.38,0.04,0.1,0.45,0.0
167682,"Pectin, Liquid",11.0,2.1,0.0,2.1,0.0,0.0
167683,"Frozen Novelties, Ice Cream Type, Vanilla Ice Cream, Light, No Sugar Added, Chocolate Coated",221.0,26.11,10.1,0.8,6.4,8.52
167684,"Creamy Dressing, Made With Sour Cream And/Or Buttermilk And Oil, Reduced Calorie",160.0,7.0,14.0,0.0,1.5,5.65
167685,"Bologna, Beef And Pork, Low Fat",230.0,2.6,19.3,0.0,11.5,0.0
167686,"Milk Dessert, Frozen, Milk-Fat Free, Chocolate",167.0,37.7,1.0,0.0,4.3,37.7
167687,"Whipped Topping, Frozen, Low Fat",224.0,23.6,13.1,0.0,3.0,23.6
167688,"Cream Substitute, Powdered, Light",431.0,73.4,15.7,0.0,1.9,73.4
167689,"Candies, Mars Snackfood Us, M&M'S Peanut Butter Chocolate Candies",529.0,56.89,29.32,4.0,10.16,47.15
167690,"Babyfood, Apple Yogurt Dessert, Strained",93.0,19.5,1.6,0.5,0.8,12.02
167691,"Vegetable Oil-Butter Spread, Reduced Calorie",465.0,0.0,53.0,0.0,0.0,0.0
167692,"Salad Dressing, Blue Or Roquefort Cheese Dressing, Light",86.0,13.2,2.7,0.0,2.1,3.6
167693,"Salad Dressing, French Dressing, Reduced Calorie",227.0,27.0,13.0,0.0,0.4,25.92
167694,"Sausage, Turkey And Pork, Fresh, Bulk, Patty Or Link, Cooked",307.0,0.7,23.0,0.0,22.7,0.0
167695,"Mayonnaise, Made With Tofu",322.0,3.06,31.79,1.1,5.95,0.85
167696,"Frankfurter, Beef, Low Fat",140.0,1.6,9.5,0.0,12.0,0.85
167697,"Milk, Buttermilk, Fluid, Cultured, Reduced Fat",56.0,5.3,2.0,0.0,4.1,5.3
167698,"Pork Sausage Rice Links, Brown And Serve, Cooked",407.0,2.36,37.63,0.0,13.7,0.0
167699,"Salad Dressing, Blue Or Roquefort Cheese Dressing, Fat-Free",115.0,25.6,1.01,1.8,1.52,7.44
167700,"Salad Dressing, Mayonnaise-Like, Fat-Free",84.0,15.5,2.7,1.9,0.2,10.3
167701,"Candies, Mars Snackfood Us, Milky Way Midnight Bar",443.0,71.22,17.5,2.9,3.2,57.81
167702,"Oil, Flaxseed, Cold Pressed",884.0,0.0,99.98,0.0,0.11,0.0
167703,"Cheese, Cottage, Lowfat, 1% Milkfat, Lactose Reduced",74.0,3.2,1.0,0.6,12.4,2.6
167704,"Salad Dressing, Bacon And Tomato",326.0,2.0,35.0,0.2,1.8,2.0
167705,"Cheese, Parmesan, Low Sodium",451.0,3.7,29.99,0.0,41.6,0.85
167706,"Jams, Preserves, Marmalade, Reduced Sugar",151.0,37.6,0.1,1.5,0.0,29.41
167707,"Beverages, Fruit-Flavored Drink, Powder, With High Vitamin C With Other Added Vitamins, Low Calorie",227.0,91.0,0.16,2.2,0.25,0.0
167708,"Tomato And Vegetable Juice, Low Sodium",22.0,4.59,0.1,0.8,0.6,3.28
167709,"Turkey, Wing, Smoked, Cooked, With Skin, Bone Removed",221.0,0.0,12.41,0.0,27.4,0.0
167710,"Turkey, Drumstick, Smoked, Cooked, With Skin, Bone Removed",200.0,0.0,9.8,0.0,27.9,0.0
167711,"Beverages, Chocolate-Flavored Drink, Whey And Milk Based",49.0,10.68,0.4,0.6,0.64,8.68
167712,"Pork, Cured, Bacon, Cooked, Broiled, Pan-Fried Or Roasted, Reduced Sodium",541.0,1.43,41.78,0.0,37.04,0.0
167713,"Turkey, Light Or Dark Meat, Smoked, Cooked, Skin And Bone Removed",162.0,0.0,5.0,0.0,29.3,0.0
167714,"Hearts Of Palm, Raw",115.0,25.61,0.2,1.5,2.7,17.16
167715,"Cereals Ready-To-Eat, Post, Shredded Wheat N' Bran, Spoon-Size",339.0,80.65,2.06,14.7,10.93,0.75
167716,"Cheese, Cottage, Lowfat, 1% Milkfat, With Vegetables",67.0,3.0,1.0,0.0,10.9,3.0
167717,Yeast Extract Spread,185.0,20.42,0.9,6.5,23.88,1.6
167718,"Babyfood, Juice, Pear",43.0,11.86,0.0,0.1,0.0,7.28
167719,"Chicken, Meatless, Breaded, Fried",234.0,8.51,12.77,4.3,21.28,0.0
167720,"Babyfood, Meat, Beef With Vegetables, Toddler",69.0,8.72,2.1,1.8,3.5,1.18
167721,"Frozen Novelties, Juice Type, Juice With Cream",115.0,24.11,1.41,0.1,1.41,20.61
167722,Tofu Yogurt,94.0,15.96,1.8,0.2,3.5,1.24
167723,"Alcoholic Beverage, Rice (Sake)",134.0,5.0,0.0,0.0,0.5,0.0
167724,"Millet, Puffed",354.0,80.0,3.4,2.7,13.0,0.55
167725,"Cereals Ready-To-Eat, Oat Bran Flakes, Health Valley",380.0,78.0,3.0,8.0,10.0,22.0
167726,"Babyfood, Mixed Fruit Yogurt, Strained",75.0,16.23,0.8,0.4,0.8,11.74
167727,"Beverages, Abbott, Ensure Plus, Ready-To-Drink",141.0,19.88,4.52,0.0,5.16,8.33
167728,"Babyfood, Rice And Apples, Dry",396.0,86.89,2.4,3.0,6.7,3.22
